Course/exam,TermCD,SchoolYear,CourseSchoolDBN,Table,CourseTitle,Mark,Mark,NumericEquivalent,Credits,CreditEarned,CreditEarned,Term Average Display,Credits Total,Credit Earned Total,Credits Average,StudentID,Credits Total,Credit Earned Total,Cumulative Term Average1,Credits Average
Exam  ,2,2017,30Q258,HXRUE ,USHIST REG JUNE,84, ,84,0,0,0,,,,,,,,,
Exam  ,2,2017,30Q258,MXRNE ,CC ALGEBRA II REG JU,68, ,68,0,0,0,,0,0,0,,,,,
Exam  ,1,2017,30Q258,EXRCR ,CC ELA REG JAN,85, ,85,0,0,0,,0,0,0,,,,,
Exam  ,2,2016,30Q258,HXRGE ,GLOB HIST REG JUN,91, ,91,0,0,0,,,,,,,,,
Exam  ,2,2016,30Q258,MXRKE ,CC GEOMETRY REG JUN,67, ,67,0,0,0,,,,,,,,,
Exam  ,2,2016,30Q258,SXRXE ,CHEMISTRY R JUNE,64, ,64,0,0,0,,0,0,0,,,,,
Exam  ,2,2015,30Q258,MXRCE ,CC ALGEBRA I REG JUN,81, ,81,0,0,0,,,,,,,,,
Exam  ,2,2015,30Q258,SXRKE ,LIVENVIR R JUNE,76, ,76,0,0,0,,0,0,0,209267160,57.5,56,82.65826087,57.5
Course,1,2019,30Q258,EES81,ENGLISH 9 1 OF 2,72, ,72,1,6.5,1,,,,,,,,,
Course,1,2019,30Q258,EES82,ENGLISH 9 2 OF 2,72, ,72,1,6.5,1,,,,,,,,,
Course,1,2019,30Q258,MES41,CC ALGEBRA 1 OF 4,66, ,66,1,6.5,1,,,,,,,,,
Course,1,2019,30Q258,MES42,CC ALGEBRA 2 OF 4,66, ,66,1,6.5,1,,,,,,,,,
Course,1,2019,30Q258,PPS81,PHYS ED,94, ,94,0.5,6.5,0.5,,,,,,,,,
Course,1,2019,30Q258,SLS21,LIVING ENV 1 OF 2,73, ,73,1,6.5,1,,,,,,,,,
Course,1,2019,30Q258,SLS21QL,LIVING ENV 1 LAB 1 O,P,*,,0,6.5,0,,,,,,,,,
Course,1,2019,30Q258,SQS21T,ENGINEERING FOUNDATI,94, ,94,1,6.5,1,75.38461538,6.5,6.5,6.5,218602704,6.5,6.5,75.38461538,6.5
Course,1,2019,30Q258,ANS21,STUDIO ART I 1 of 2,65, ,65,1,0,1,,,,,,,,,
Course,1,2019,30Q258,EES21,Capstone,55, ,55,1,0,0,,,,,,,,,
Course,1,2019,30Q258,HES11,ECONOMICS,67, ,67,1,0,1,,,,,,,,,
Course,1,2019,30Q258,HUS21X,AP US History,55, ,55,1,0,0,,,,,,,,,
Course,1,2019,30Q258,MQS21,Mathematical Modelin,65, ,65,1,0,1,,,,,,,,,
Course,1,2019,30Q258,PPS87,PHYS ED,69, ,69,0.5,0,0.5,,,,,,,,,
Course,1,2019,30Q258,RQS43T,Technology & Sustain,55, ,55,0.5,0,0,,,,,,,,,
Course,1,2019,30Q258,SLS21,LIVING ENV 1 OF 2,65, ,65,1,0,1,,,,,,,,,
Course,1,2019,30Q258,SLS21QL,LIVING ENV 1 LAB 1 O,P,*,,0,0,0,62,7,4.5,7,,,,,
Course,7,2018,30Q502,EEF85,English 11 Term 1,65, ,65,1,0,1,,,,,,,,,
Course,7,2018,30Q502,EEF86,English 11 Term 2,65, ,65,1,0,1,,,,,,,,,
Course,7,2018,30Q502,MRF21,Algebra 2/Trig Term ,NS, ,45,1,0,0,,,,,,,,,
Course,7,2018,30Q502,MRF22,Algebra 2/Trig Term ,55, ,55,1,0,0,57.5,4,2,4,,,,,
Course,2,2018,30Q258,ANS22,STUDIO ART II 2 of 2,55, ,55,1,0,0,,,,,,,,,
Course,2,2018,30Q258,EES86,ENGLISH 11 2 OF 2,55, ,55,1,0,0,,,,,,,,,
