ID,Gender,MP1,MP2,MP3,MP4,Regents Score,Course,Race
216834234,F,83.13,83.53,82.28,82.28,63,earth,Asian
209088772,F,84.21,80.51,76.57,76.57,63,earth,Hispanic or Latinx
217022615,F,62,58.98,64.51,64.51,63,living,Hispanic or Latinx
219748233,M,80.17,81.7,82.04,82.04,63,living,Hispanic or Latinx
220105902,M,58.83,59.19,67.3,67.3,63,living,Hispanic or Latinx
220348486,F,64.6,63.14,67.34,67.34,63,living,Hispanic or Latinx
215902784,M,51.98,61.86,64.46,64.46,64,global,Hispanic or Latinx
214676892,M,57.79,58.68,60.81,60.81,64,global,Hispanic or Latinx
208946087,M,94.2,95.55,89.95,89.95,64,physics,Hispanic or Latinx
219702420,F,82.08,70.42,79.45,79.45,64,alg1,Hispanic or Latinx
217946292,M,68.85,66.72,66.74,66.74,64,alg1,Hispanic or Latinx
217228469,M,92.1,81.2,75.63,75.63,64,geometry,Asian
202994331,M,74.1,72.18,69.91,69.91,65,ush,Asian
214658411,M,76.09,71.58,65.07,65.07,65,ush,Hispanic or Latinx
215386889,M,75.08,71,64.62,64.62,65,ush,Hispanic or Latinx
215996521,M,93.39,85.86,86.34,86.34,65,chemistry,Hispanic or Latinx
215902784,M,68.22,66.42,65.1,65.1,65,ela,Hispanic or Latinx
216927640,M,68.72,64.56,64.7,64.7,65,ela,Asian
215706300,M,68.02,64.21,62.54,62.54,65,ela,Hispanic or Latinx
216517144,M,82.25,84.55,79.66,79.66,65,ela,Hispanic or Latinx
214452336,M,88.06,86.52,87.39,87.39,65,ela,Hispanic or Latinx
216236802,M,71.52,73.74,71.65,71.65,65,global,Black
214467565,M,90.8,91.55,89.27,89.27,65,physics,Hispanic or Latinx
206589954,F,85.7,85.95,77.68,77.68,65,physics,Hispanic or Latinx
215316050,F,94.45,95.13,95.02,95.02,65,physics,White
220740989,F,77.69,62.72,69.52,69.52,65,alg1,Hispanic or Latinx
237512231,M,77.67,79.91,67.18,67.18,65,alg1,White
216027417,M,75.44,77.07,66.74,66.74,65,alg1,
213554868,M,72.33,62.02,58.5,58.5,65,alg2,Hispanic or Latinx
230133597,M,61.67,61.7,58.44,58.44,65,alg2,Hispanic or Latinx
208517334,M,55,59.62,65.03,65.03,65,alg2,Hispanic or Latinx
214370132,M,87.33,70.6,64.31,64.31,65,alg2,White
214629040,M,96.83,82.51,76.28,76.28,65,alg2,Hispanic or Latinx
215010000,F,80.67,66.34,70.42,70.42,65,alg2,Hispanic or Latinx
220216873,M,79.07,78.58,78.9,78.9,65,earth,Asian
219543287,F,80.86,78.69,82.59,82.59,65,living,Hispanic or Latinx
208817098,M,69.98,70.48,72.84,72.84,66,ush,Hispanic or Latinx
231712647,M,82.46,78.21,71.47,71.47,66,ush,Black
216303909,M,62.36,71.41,69.9,69.9,66,chemistry,Asian
208680835,M,93.17,92.73,92.41,92.41,66,chemistry,Hispanic or Latinx
218605244,F,82.84,78.99,78.48,78.48,66,ela,Hispanic or Latinx
216236802,M,67.99,70.47,72.4,72.4,66,ela,Black
216927640,M,46.71,53.01,60.53,60.53,66,global,Asian
219801214,F,75,79.02,70.95,70.95,66,alg1,
217443183,F,67.15,68.05,71.39,71.39,66,geometry,Hispanic or Latinx
214502296,F,96,83.15,83.03,83.03,66,alg2,Hispanic or Latinx
215750696,F,71.83,56,58.99,58.99,66,alg2,Hispanic or Latinx
217228469,M,74.14,68.11,61.68,61.79,66,earth,Asian
209170976,M,87,77.72,79.72,79.72,66,living,Hispanic or Latinx
218658458,M,80.79,79.9,77.29,77.29,67,chemistry,Asian or Pacific Islander
215259300,M,95.97,95.35,93.75,93.75,67,chemistry,Hispanic or Latinx
215941683,F,74.54,75.07,63.96,63.96,67,alg1,Hispanic or Latinx
219543287,F,91.14,86.61,77.65,77.65,67,alg1,Hispanic or Latinx
223228743,F,73.45,62.31,69.84,69.84,67,alg1,
210575643,M,62,58.76,63.37,63.37,67,geometry,Hispanic or Latinx
225896174,M,85.55,84.27,84.95,84.95,67,geometry,Hispanic or Latinx
217323898,M,81.4,76.03,73.97,73.97,67,geometry,Hispanic or Latinx
